,ANO,UF,CARGO,SIGLA,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
100,2014,AL,DEPUTADO FEDERAL,PTB,2,0,1,1,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,
101,2014,AL,DEPUTADO FEDERAL,PT do B,2,2,0,2,0,0,0,0,2,0,0,0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,
102,2014,AL,DEPUTADO FEDERAL,PDT,2,1,1,1,0,0,0,1,0,0,0,0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,,0.0,
103,2014,AL,DEPUTADO FEDERAL,PEN,2,1,2,0,0,0,0,1,0,0,0,0,0.5,1.0,0.5,0.0,,0.0,,0.0,,0.0,
104,2014,AL,DEPUTADO FEDERAL,PSB,4,2,2,1,0,1,0,2,0,0,0,0,0.5,0.5,1.0,0.25,0.0,0.0,,0.25,0.0,0.0,
105,2014,AL,DEPUTADO FEDERAL,PSTU,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
106,2014,AL,DEPUTADO FEDERAL,PPL,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
107,2014,AL,DEPUTADO FEDERAL,PR,2,1,0,2,0,0,0,0,1,0,0,0,0.5,0.0,,1.0,0.5,0.0,,0.0,,0.0,
108,2014,AL,DEPUTADO FEDERAL,PV,3,2,0,3,0,0,0,0,2,0,0,0,0.6666666666666666,0.0,,1.0,0.6666666666666666,0.0,,0.0,,0.0,
109,2014,AL,DEPUTADO FEDERAL,PHS,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
110,2014,AL,DEPUTADO FEDERAL,PTN,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
111,2014,AL,DEPUTADO FEDERAL,PRP,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
112,2014,AL,DEPUTADO FEDERAL,PT,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,
113,2014,AL,SENADOR,PTN,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
114,2014,AL,SENADOR,PTC,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
115,2014,AL,SENADOR,PTB,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
116,2014,AL,SENADOR,PSOL,1,1,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,
117,2014,AL,SENADOR,PSDB,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
118,2014,AL,SENADOR,DEM,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
119,2014,AL,SENADOR,PEN,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
120,2014,AL,SENADOR,PRTB,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
121,2014,AP,DEPUTADO ESTADUAL,PSD,18,5,12,3,3,0,0,5,0,0,0,0,0.2777777777777778,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,,0.0,
122,2014,AP,DEPUTADO ESTADUAL,PV,11,3,8,0,3,0,0,1,0,2,0,0,0.2727272727272727,0.7272727272727273,0.125,0.0,,0.2727272727272727,0.6666666666666666,0.0,,0.0,
123,2014,AP,DEPUTADO ESTADUAL,PROS,9,4,5,3,1,0,0,1,2,1,0,0,0.4444444444444444,0.5555555555555556,0.2,0.3333333333333333,0.6666666666666666,0.1111111111111111,1.0,0.0,,0.0,
124,2014,AP,DEPUTADO ESTADUAL,PSC,36,11,12,20,3,0,1,5,4,1,0,1,0.3055555555555556,0.3333333333333333,0.4166666666666667,0.5555555555555556,0.2,0.08333333333333333,0.3333333333333333,0.0,,0.027777777777777776,1.0
125,2014,AP,DEPUTADO ESTADUAL,PRP,20,6,6,13,1,0,0,2,4,0,0,0,0.3,0.3,0.3333333333333333,0.65,0.3076923076923077,0.05,0.0,0.0,,0.0,
126,2014,AP,DEPUTADO ESTADUAL,PP,6,2,4,2,0,0,0,1,1,0,0,0,0.3333333333333333,0.6666666666666666,0.25,0.3333333333333333,0.5,0.0,,0.0,,0.0,
127,2014,AP,DEPUTADO ESTADUAL,PTN,15,4,11,0,4,0,0,4,0,0,0,0,0.26666666666666666,0.7333333333333333,0.36363636363636365,0.0,,0.26666666666666666,0.0,0.0,,0.0,
128,2014,AP,DEPUTADO ESTADUAL,DEM,9,3,3,5,1,0,0,1,2,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4,0.1111111111111111,0.0,0.0,,0.0,
129,2014,AP,DEPUTADO ESTADUAL,PT do B,24,8,18,5,0,1,0,6,2,0,0,0,0.3333333333333333,0.75,0.3333333333333333,0.20833333333333334,0.4,0.0,,0.041666666666666664,0.0,0.0,
130,2014,AP,DEPUTADO ESTADUAL,PSDC,9,2,8,0,1,0,0,2,0,0,0,0,0.2222222222222222,0.8888888888888888,0.25,0.0,,0.1111111111111111,0.0,0.0,,0.0,
131,2014,AP,DEPUTADO ESTADUAL,PC do B,7,2,2,2,2,0,1,2,0,0,0,0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,,0.14285714285714285,0.0
132,2014,AP,DEPUTADO ESTADUAL,PRB,20,4,10,9,1,0,0,1,3,0,0,0,0.2,0.5,0.1,0.45,0.3333333333333333,0.05,0.0,0.0,,0.0,
133,2014,AP,DEPUTADO ESTADUAL,PDT,15,7,11,3,0,0,1,4,2,0,0,1,0.4666666666666667,0.7333333333333333,0.36363636363636365,0.2,0.6666666666666666,0.0,,0.0,,0.06666666666666667,1.0
134,2014,AP,DEPUTADO ESTADUAL,PMDB,8,0,4,3,1,0,0,0,0,0,0,0,0.0,0.5,0.0,0.375,0.0,0.125,0.0,0.0,,0.0,
135,2014,AP,DEPUTADO ESTADUAL,PPL,7,4,6,1,0,0,0,3,1,0,0,0,0.5714285714285714,0.8571428571428571,0.5,0.14285714285714285,1.0,0.0,,0.0,,0.0,
136,2014,AP,DEPUTADO ESTADUAL,PMN,3,1,2,1,0,0,0,1,0,0,0,0,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.0,0.0,,0.0,,0.0,
137,2014,AP,DEPUTADO ESTADUAL,PT,13,4,5,4,4,0,0,3,1,0,0,0,0.3076923076923077,0.38461538461538464,0.6,0.3076923076923077,0.25,0.3076923076923077,0.0,0.0,,0.0,
138,2014,AP,DEPUTADO ESTADUAL,PRTB,16,4,8,5,3,0,0,2,0,2,0,0,0.25,0.5,0.25,0.3125,0.0,0.1875,0.6666666666666666,0.0,,0.0,
139,2014,AP,DEPUTADO ESTADUAL,PSOL,30,10,10,16,3,1,0,3,6,1,0,0,0.3333333333333333,0.3333333333333333,0.3,0.5333333333333333,0.375,0.1,0.3333333333333333,0.03333333333333333,0.0,0.0,
