,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
717,2018,AM,DEPUTADO ESTADUAL,PP,7,2,9,0.2222222222222222,0.7777777777777778
718,2018,AM,DEPUTADO ESTADUAL,PSTU,1,0,1,0.0,1.0
719,2018,AM,DEPUTADO FEDERAL,PC do B,5,3,8,0.375,0.625
720,2018,AM,DEPUTADO FEDERAL,PSTU,1,0,1,0.0,1.0
721,2018,AM,DEPUTADO FEDERAL,MDB,4,5,9,0.5555555555555556,0.4444444444444444
722,2018,AM,DEPUTADO FEDERAL,REDE,5,2,7,0.2857142857142857,0.7142857142857143
723,2018,AM,DEPUTADO FEDERAL,PV,2,1,3,0.3333333333333333,0.6666666666666666
724,2018,AM,DEPUTADO FEDERAL,DC,7,0,7,0.0,1.0
725,2018,AM,DEPUTADO FEDERAL,PSB,1,2,3,0.6666666666666666,0.3333333333333333
726,2018,AM,DEPUTADO FEDERAL,PATRI,5,3,8,0.375,0.625
727,2018,AM,DEPUTADO FEDERAL,AVANTE,6,1,7,0.14285714285714285,0.8571428571428571
728,2018,AM,DEPUTADO FEDERAL,PSOL,11,4,15,0.26666666666666666,0.7333333333333333
729,2018,AM,DEPUTADO FEDERAL,PDT,8,4,12,0.3333333333333333,0.6666666666666666
730,2018,AM,DEPUTADO FEDERAL,PSC,3,2,5,0.4,0.6
731,2018,AM,DEPUTADO FEDERAL,DEM,1,1,2,0.5,0.5
732,2018,AM,DEPUTADO FEDERAL,PSD,4,0,4,0.0,1.0
733,2018,AM,DEPUTADO FEDERAL,PTB,1,0,1,0.0,1.0
734,2018,AM,DEPUTADO FEDERAL,PRP,4,1,5,0.2,0.8
735,2018,AM,DEPUTADO FEDERAL,PMB,7,4,11,0.36363636363636365,0.6363636363636364
736,2018,AM,DEPUTADO FEDERAL,PMN,5,1,6,0.16666666666666666,0.8333333333333334
737,2018,AM,DEPUTADO FEDERAL,PT,2,2,4,0.5,0.5
738,2018,AM,DEPUTADO FEDERAL,PODE,3,2,5,0.4,0.6
739,2018,AM,DEPUTADO FEDERAL,PTC,2,2,4,0.5,0.5
740,2018,AM,DEPUTADO FEDERAL,PPL,3,2,5,0.4,0.6
741,2018,AM,DEPUTADO FEDERAL,PSL,1,0,1,0.0,1.0
