,UF,CARGO,SG_PARTIDO,COR,propor14,propor18,Variaçao 14-18
304,AC,DEPUTADO FEDERAL,PSL,INDÍGENA,0.0,0.0,
305,AC,DEPUTADO FEDERAL,PHS,PARDA,1.0,0.0,-1.0
306,AC,DEPUTADO FEDERAL,PHS,BRANCA,0.0,0.5,inf
307,AC,DEPUTADO FEDERAL,PHS,PRETA,0.0,0.0,
308,AC,DEPUTADO FEDERAL,PHS,AMARELA,0.0,0.0,
309,AC,DEPUTADO FEDERAL,PHS,INDÍGENA,0.0,0.5,inf
310,AC,DEPUTADO FEDERAL,PROS,PARDA,1.0,1.0,0.0
311,AC,DEPUTADO FEDERAL,PROS,BRANCA,0.0,0.0,
312,AC,DEPUTADO FEDERAL,PROS,PRETA,0.0,0.0,
313,AC,DEPUTADO FEDERAL,PROS,AMARELA,0.0,0.0,
314,AC,DEPUTADO FEDERAL,PROS,INDÍGENA,0.0,0.0,
315,AC,DEPUTADO FEDERAL,PPL,PARDA,1.0,0.0,-1.0
316,AC,DEPUTADO FEDERAL,PPL,BRANCA,0.0,0.0,
317,AC,DEPUTADO FEDERAL,PPL,PRETA,0.0,1.0,inf
318,AC,DEPUTADO FEDERAL,PPL,AMARELA,0.0,0.0,
319,AC,DEPUTADO FEDERAL,PPL,INDÍGENA,0.0,0.0,
320,AC,DEPUTADO FEDERAL,DC,PARDA,0.0,1.0,inf
321,AC,DEPUTADO FEDERAL,DC,BRANCA,0.0,0.0,
322,AC,DEPUTADO FEDERAL,DC,PRETA,0.0,0.0,
323,AC,DEPUTADO FEDERAL,DC,AMARELA,0.0,0.0,
324,AC,DEPUTADO FEDERAL,DC,INDÍGENA,0.0,0.0,
325,AC,DEPUTADO FEDERAL,AVANTE,PARDA,0.0,0.7777777777777778,inf
