,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
175,2010,AL,DEPUTADO ESTADUAL,PDT,15,5,20,0.25,0.75
176,2010,AL,DEPUTADO ESTADUAL,PPS,25,11,36,0.3055555555555556,0.6944444444444444
177,2010,AL,DEPUTADO ESTADUAL,PSB,4,4,8,0.5,0.5
178,2010,AL,DEPUTADO ESTADUAL,PMDB,13,1,14,0.07142857142857142,0.9285714285714286
179,2010,AL,DEPUTADO ESTADUAL,PV,15,4,19,0.21052631578947367,0.7894736842105263
180,2010,AL,DEPUTADO ESTADUAL,PMN,12,2,14,0.14285714285714285,0.8571428571428571
181,2010,AL,DEPUTADO ESTADUAL,PSL,14,0,14,0.0,1.0
182,2010,AL,DEPUTADO ESTADUAL,PSC,1,2,3,0.6666666666666666,0.3333333333333333
183,2010,AL,DEPUTADO ESTADUAL,PTB,15,2,17,0.11764705882352941,0.8823529411764706
184,2010,AL,DEPUTADO ESTADUAL,PC do B,3,2,5,0.4,0.6
185,2010,AL,DEPUTADO ESTADUAL,PSDB,18,2,20,0.1,0.9
186,2010,AL,DEPUTADO ESTADUAL,PT do B,4,2,6,0.3333333333333333,0.6666666666666666
187,2010,AL,DEPUTADO ESTADUAL,DEM,18,4,22,0.18181818181818182,0.8181818181818182
188,2010,AL,DEPUTADO ESTADUAL,PSOL,28,12,40,0.3,0.7
189,2010,AL,DEPUTADO ESTADUAL,PP,5,3,8,0.375,0.625
190,2010,AL,DEPUTADO ESTADUAL,PRB,4,0,4,0.0,1.0
191,2010,AL,DEPUTADO ESTADUAL,PTN,15,5,20,0.25,0.75
192,2010,AL,DEPUTADO ESTADUAL,PCB,2,1,3,0.3333333333333333,0.6666666666666666
193,2010,AL,DEPUTADO ESTADUAL,PT,16,7,23,0.30434782608695654,0.6956521739130435
194,2010,AL,DEPUTADO ESTADUAL,PSDC,1,0,1,0.0,1.0
195,2010,AL,DEPUTADO ESTADUAL,PR,9,0,9,0.0,1.0
196,2010,AL,DEPUTADO ESTADUAL,PRP,2,0,2,0.0,1.0
197,2010,AL,DEPUTADO ESTADUAL,PTC,1,0,1,0.0,1.0
198,2010,AL,DEPUTADO ESTADUAL,PHS,2,0,2,0.0,1.0
199,2010,AL,DEPUTADO FEDERAL,PTB,4,3,7,0.42857142857142855,0.5714285714285714
200,2010,AL,DEPUTADO FEDERAL,PRP,2,0,2,0.0,1.0
201,2010,AL,DEPUTADO FEDERAL,PSDB,5,1,6,0.16666666666666666,0.8333333333333334
202,2010,AL,DEPUTADO FEDERAL,PSOL,9,4,13,0.3076923076923077,0.6923076923076923
