,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
257,PI,DEPUTADO ESTADUAL,PARDA,0.5271317829457365,0.5209302325581395,-0.011764705882353045
258,PI,DEPUTADO ESTADUAL,AMARELA,0.011627906976744186,0.0,-1.0
259,PI,DEPUTADO ESTADUAL,INDÍGENA,0.007751937984496124,0.0,-1.0
260,PI,DEPUTADO FEDERAL,BRANCA,0.3333333333333333,0.4326241134751773,0.297872340425532
261,PI,DEPUTADO FEDERAL,PRETA,0.08108108108108109,0.06382978723404255,-0.21276595744680862
262,PI,DEPUTADO FEDERAL,PARDA,0.5675675675675675,0.49645390070921985,-0.12529550827423164
263,PI,DEPUTADO FEDERAL,AMARELA,0.009009009009009009,0.0070921985815602835,-0.2127659574468085
264,PI,DEPUTADO FEDERAL,INDÍGENA,0.009009009009009009,0.0,-1.0
265,PI,SENADOR,BRANCA,0.6666666666666666,0.5,-0.24999999999999994
266,PI,SENADOR,PRETA,0.16666666666666666,0.1111111111111111,-0.3333333333333333
267,PI,SENADOR,PARDA,0.0,0.3888888888888889,inf
268,PI,SENADOR,AMARELA,0.0,0.0,
269,PI,SENADOR,INDÍGENA,0.16666666666666666,0.0,-1.0
270,RJ,DEPUTADO ESTADUAL,BRANCA,0.5625920471281296,0.5046881369751325,-0.10292344239236922
271,RJ,DEPUTADO ESTADUAL,PRETA,0.13058419243986255,0.16347329800244598,0.25186130838715204
272,RJ,DEPUTADO ESTADUAL,PARDA,0.30584192439862545,0.3293925805136568,0.07700270707274286
273,RJ,DEPUTADO ESTADUAL,AMARELA,0.0,0.00040766408479412964,inf
274,RJ,DEPUTADO ESTADUAL,INDÍGENA,0.0009818360333824251,0.0020383204239706482,1.0760293518141053
275,RJ,DEPUTADO FEDERAL,BRANCA,0.5383903792784459,0.5373537353735374,-0.001925450276986482
276,RJ,DEPUTADO FEDERAL,PRETA,0.10545790934320073,0.15031503150315031,0.4253556934640833
277,RJ,DEPUTADO FEDERAL,PARDA,0.35430157261794637,0.3096309630963096,-0.12608075428952828
278,RJ,DEPUTADO FEDERAL,AMARELA,0.0009250693802035153,0.0018001800180018,0.9459945994599458
279,RJ,DEPUTADO FEDERAL,INDÍGENA,0.0009250693802035153,0.0009000900090009,-0.02700270027002709
